,row_name,col_name,R2
230,K0_CH4,DC_CH4 log10,0.028673581871115014
331,DC_CO2,P_CH4,0.028475738250307494
369,DC_H2S,P_CO2 log10,0.02653299430516444
200,PV (cc/g),K0_CH4 log10,0.026346201146180984
471,Qst_H2O,LCD log10,0.02599913936329657
499,LCD log10,K0_H2O log10,0.025965557555631655
183,PV (cc/g),K0_CH4,0.025596733418623698
58,LCD,K0_H2O log10,0.025271051274564738
399,P_CO2,K0_CO2 log10,0.02486403593525694
417,P_H2S,K0_H2S log10,0.024470200847269974
51,LCD,Qst_H2O,0.02446569809156382
284,K0_H2S,P_H2S log10,0.023905057423186236
252,K0_CO2,K0_CO2 log10,0.023688544856835303
488,PLD log10,K0_H2O log10,0.022881132579598187
277,K0_H2S,K0_H2S log10,0.02245264793877798
386,P_CH4,DC_H2S log10,0.022230005612373246
470,Qst_H2O,PLD log10,0.021984502483883346
410,P_H2S,Qst_H2S,0.021153418122887534
301,K0_H2O,K0_H2O log10,0.020759160970018117
26,PLD,K0_H2O log10,0.020457907426829246
196,PV (cc/g),Qst_H2O,0.020351732546141744
270,K0_H2S,Qst_H2S,0.020048450819361702
225,K0_CH4,PV (cc/g) log10,0.019131549884481736
19,PLD,Qst_H2O,0.019112953694561605
82,Density (g/cc),Qst_H2O,0.018283812471660155
117,VSA (m2/cc),K0_CO2 log10,0.017854860351258297
294,K0_H2O,Qst_H2O,0.0170696811133749
382,P_CH4,K0_H2S log10,0.016454603222871282
86,Density (g/cc),K0_CH4 log10,0.016276565638052694
472,Qst_H2O,PV (cc/g) log10,0.01626414622836185
203,PV (cc/g),K0_H2O log10,0.016207387972592965
392,P_CO2,Qst_CO2,0.015893348690581528
245,K0_CO2,Qst_CO2,0.01530758837283164
124,VSA (m2/cc),P_CO2 log10,0.014853533707791185
527,K0_CO2 log10,DC_CH4 log10,0.014590322557367343
180,VF,P_CH4 log10,0.014398559235916854
89,Density (g/cc),K0_H2O log10,0.013855084164948323
207,PV (cc/g),P_CH4 log10,0.012029533152241216
